gene_id,CD4_positive_naive_resting_alpha_beta_T_cell,CD8_positive_naive_resting_alpha_beta_T_cell,hippocampus,heart,gastrocnemius,monocyte,neutrophil,T_cell,left_cerebral_cortex,adrenal_gland,B_cell
ENSMUSG00000025907.14,81.72,54.19,37.3,31.92,33.96,48.31,103.46,59.97,40.89,20.59,54.85
ENSMUSG00000090031.2,4.57,3.4,1.49,0.54,0.3,1.83,3.11,4.75,0.86,1.37,6.39
ENSMUSG00000087247.3,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
ENSMUSG00000103355.1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.0
ENSMUSG00000102706.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103845.1,0.03,0.08,1.03,0.1,0.11,0.08,0.06,0.09,0.79,0.14,0.08
ENSMUSG00000033740.17,0.0,0.0,10.98,0.0,0.0,0.0,0.0,0.0,0.86,2.78,0.0
ENSMUSG00000103329.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104385.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
ENSMUSG00000102135.1,0.36,0.11,0.0,0.0,0.0,0.46,0.22,0.0,0.1,0.06,0.12
ENSMUSG00000103282.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102534.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102213.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103629.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000051285.17,13.92,15.26,23.51,17.1,16.65,7.21,9.65,16.34,24.21,21.99,18.43
ENSMUSG00000098201.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103509.1,2.49,2.75,2.52,0.36,0.41,1.67,1.86,3.67,2.26,0.79,3.47
ENSMUSG00000048538.7,0.39,0.0,0.12,0.09,0.0,0.0,0.0,0.29,0.0,0.05,0.24
ENSMUSG00000103709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000077244.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102768.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000097797.6,0.32,0.04,0.24,0.0,0.04,0.0,0.19,0.02,0.46,0.1,0.24
ENSMUSG00000103498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102320.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
